

Results from heasarc_fermigbrst: Fermi GBM Burst Catalog
Coordinate system:  Equatorial
|name        |ra        |dec      |t90     |t90_error|flux_64 |flux_64_error|pflx_comp_epeak|pflx_comp_epeak_pos_err|pflx_comp_epeak_neg_err|pflx_comp_index|pflx_comp_index_pos_err|pflx_comp_index_neg_err|pflx_comp_phtflux|pflx_comp_phtflux_error|
|GRB081229187|11 30 24.0|+56 54 00|   0.768|    0.724|  5.0049|       0.5986|   5.429983e+02|           1.956056e+02|           1.956056e+02|  -1.504002e-01|           6.063085e-01|           6.063085e-01|     5.053116e+00|           8.833783e-01|
|GRB081229675|20 40 00.0|+22 48 00|   0.032|    0.045|  9.4487|       1.4957|               |                       |                       |               |                       |                       |                 |                       |
|GRB081230871|13 50 24.0|-17 18 00|   0.512|    0.272|  3.8423|       0.6189|   2.447763e+02|           6.835429e+01|           6.835429e+01|   4.731354e-01|           1.100350e+00|           1.100350e+00|     3.957212e+00|           9.929174e-01|
|GRB090108020|17 23 12.0|+46 00 00|   0.704|    0.143| 25.4336|       1.3557|   1.472067e+02|           1.444080e+01|           1.444080e+01|  -2.841815e-01|           1.850928e-01|           1.850928e-01|     2.573621e+01|           1.464569e+00|
|GRB090108322|00 01 36.0|-32 54 00|   0.192|    0.143| 10.3322|       1.0263|   1.137150e+03|           4.373576e+02|           4.373576e+02|  -7.565378e-01|           1.594005e-01|           1.594005e-01|     1.057311e+01|           1.096458e+00|
|GRB090109332|08 38 24.0|+51 48 00|   1.728|    0.820|  4.3364|       1.1725|               |                       |                       |               |                       |                       |                 |                       |
|GRB090120627|02 32 24.0|-72 12 00|   1.856|    0.181|  4.6599|       0.7662|   2.749837e+03|           1.819333e+03|           1.819333e+03|  -7.689491e-01|           2.627953e-01|           2.627953e-01|     4.086869e+00|           9.131880e-01|
|GRB090126245|14 59 36.0|+41 12 00|   0.960|    0.231|  3.5936|       0.4846|               |                       |                       |               |                       |                       |                 |                       |
|GRB090206620|10 24 48.0|+08 48 00|   0.320|    0.143| 12.6969|       1.0740|   4.675235e+02|           7.017053e+01|           7.017053e+01|   2.012881e-01|           2.972071e-01|           2.972071e-01|     1.297945e+01|           1.066300e+00|
|GRB090219074|01 46 00.0|+59 12 00|   0.448|    0.272| 11.6570|       3.0940|   7.750372e+02|           2.951682e+02|           2.951682e+02|  -7.966159e-01|           4.130317e-01|           4.130317e-01|     1.212908e+01|           2.812693e+00|
|GRB090227772|00 47 12.0|+32 12 00|   0.304|    0.023|111.9210|       2.8256|   2.170823e+03|           8.086157e+01|           8.086157e+01|  -1.111181e-01|           3.593433e-02|           3.593433e-02|     1.259753e+02|           2.703874e+00|
|GRB090228204|07 07 12.0|-24 18 00|   0.448|    0.143|134.0090|       2.7437|   9.115998e+02|           4.206835e+01|           4.206835e+01|  -2.401012e-01|           4.229227e-02|           4.229227e-02|     1.339359e+02|           2.574968e+00|
|GRB090305052|09 00 00.0|+74 18 00|   1.856|    0.580|  9.0515|       0.5764|   1.677535e+03|           7.617843e+02|           7.617843e+02|  -6.976976e-01|           1.497392e-01|           1.497392e-01|     8.998840e+00|           9.725839e-01|
|GRB090308734|01 27 36.0|-54 18 00|   1.664|    0.286| 12.3319|       0.7141|   1.409992e+03|           5.098935e+02|           5.098935e+02|  -7.192456e-01|           1.646298e-01|           1.646298e-01|     1.258889e+01|           1.204193e+00|
|GRB090328713|10 22 48.0|+33 24 00|   0.192|    1.032| 17.3474|       1.4505|   1.822740e+03|           5.546389e+02|           5.546389e+02|  -8.888791e-01|           8.323628e-02|           8.323628e-02|     2.143080e+01|           1.354937e+00|
|GRB090331681|14 02 00.0|+03 06 00|   0.832|    0.143|  7.1947|       0.8156|   9.153809e+02|           3.374491e+02|           3.374491e+02|  -6.244509e-01|           2.296147e-01|           2.296147e-01|     7.791571e+00|           9.979003e-01|
|GRB090405663|14 47 36.0|-09 12 00|   0.448|    1.498|  6.7260|       1.0768|   1.898088e+03|           1.125271e+03|           1.125271e+03|  -8.477139e-01|           2.022315e-01|           2.022315e-01|     7.249742e+00|           1.085655e+00|
|GRB090412061|00 05 12.0|-51 54 00|   0.896|    0.264|  4.1236|       1.1989|   5.645167e+02|           2.319995e+02|           2.319995e+02|  -1.391957e-01|           8.844466e-01|           8.844466e-01|     3.661335e+00|           9.295797e-01|
|GRB090418816|17 31 12.0|-28 12 00|   0.320|    0.405|  5.8758|       1.2731|               |                       |                       |               |                       |                       |                 |                       |
|GRB090427644|14 00 00.0|-45 42 00|   1.024|    0.362|  2.9725|       0.8248|               |                       |                       |               |                       |                       |                 |                       |
|GRB090429753|08 20 50.4|+06 12 00|   0.640|    0.466|  8.6176|       0.8257|   1.652630e+03|           3.990760e+03|           3.990760e+03|  -1.266355e+00|           3.062823e-01|           3.062823e-01|     4.461371e+00|           9.758472e-01|
